Date,Time(s),Power(dB),Temp(K),atennuation(dB)
18:54:27,160.80867052078247,-45.824,0.090177,3.0
18:54:28,161.84942817687988,-45.8246,0.090177,3.0
18:54:29,162.88399863243103,-45.8246,0.090177,3.0
18:54:31,164.9351351261139,-45.8246,0.090177,3.0
18:54:32,165.97666120529175,-45.8245,0.090177,3.0
18:54:33,167.00324392318726,-45.8249,0.090177,3.0
18:54:34,168.03069591522217,-45.8242,0.090177,3.0
18:54:35,169.06556820869446,-45.8244,0.090177,3.0
18:54:36,170.10711073875427,-45.8246,0.090177,3.0
18:54:38,171.13875436782837,-45.8245,0.090177,3.0
18:54:39,172.184387922287,-45.8243,0.090177,3.0
18:54:40,173.23378610610962,-45.8244,0.090177,3.0
18:54:41,174.26756763458252,-45.8245,0.090177,3.0
18:54:42,175.31715631484985,-45.8245,0.090177,3.0
18:54:43,176.47805833816528,-45.8244,0.090177,3.0
18:54:44,177.52485942840576,-45.8242,0.090177,3.0
18:54:45,178.55879521369934,-45.8243,0.090177,3.0
18:54:46,179.60217452049255,-45.8239,0.090177,3.0
18:54:47,180.63610196113586,-45.8245,0.090177,3.0
18:54:48,181.67746877670288,-45.824,0.090177,3.0
18:54:49,182.71491742134094,-45.8243,0.090177,3.0
18:54:50,183.76164555549622,-45.8244,0.090177,3.0
18:54:51,184.7846438884735,-45.8242,0.090177,3.0
18:54:52,185.8109006881714,-45.8242,0.090177,3.0
18:54:53,186.84377813339233,-45.8242,0.090177,3.0
18:54:54,187.8758192062378,-45.825,0.090177,3.0
18:54:55,188.9150471687317,-45.8245,0.090177,3.0
18:54:56,189.9588873386383,-45.8245,0.090177,3.0
18:54:57,190.99701714515686,-45.8242,0.090177,3.0
18:54:58,192.04057598114014,-45.8244,0.090177,3.0
18:54:59,193.0815088748932,-45.8248,0.090177,3.0
18:55:00,194.12293910980225,-45.8242,0.090177,3.0
18:55:02,195.3705928325653,-45.8242,0.090177,3.0
18:55:03,196.427561044693,-45.8244,0.090177,3.0
18:55:04,197.4896275997162,-45.8248,0.090177,3.0
18:55:05,198.54117369651794,-45.8243,0.090177,3.0
18:55:06,199.57419657707214,-45.8239,0.090177,3.0
18:55:07,200.61156749725342,-45.8246,0.090177,3.0
18:55:08,201.65699338912964,-45.8243,0.090704,3.0
18:55:09,202.6930787563324,-45.8246,0.090704,3.0
18:55:10,203.74097752571106,-45.8234,0.090704,3.0
18:55:11,204.7893397808075,-45.8243,0.090704,3.0
18:55:12,205.83110785484314,-45.8243,0.090704,3.0
18:55:13,206.86555004119873,-45.8241,0.090704,3.0
18:55:14,207.91121363639832,-45.8245,0.090704,3.0
18:55:15,208.95230913162231,-45.8249,0.090704,3.0
18:55:16,209.9982190132141,-45.8241,0.090704,3.0
18:55:17,211.04252743721008,-45.8244,0.090704,3.0
18:55:18,212.0631878376007,-45.824,0.090704,3.0
18:55:19,213.08393597602844,-45.8242,0.090704,3.0
18:55:21,214.12677907943726,-45.8247,0.090704,3.0
18:55:22,215.17339777946472,-45.8239,0.090704,3.0
18:55:23,216.2159252166748,-45.8241,0.090704,3.0
18:55:24,217.26224613189697,-45.8241,0.090704,3.0
18:55:25,218.3066976070404,-45.8245,0.090704,3.0
18:55:26,219.35384321212769,-45.8246,0.090704,3.0
18:55:27,220.37408566474915,-45.8249,0.090704,3.0
18:55:28,221.40720629692078,-45.8242,0.090704,3.0
18:55:29,222.4622609615326,-45.825,0.090704,3.0
18:55:30,223.51253390312195,-45.8244,0.090704,3.0
18:55:31,224.56610012054443,-45.8241,0.090704,3.0
18:55:32,225.60075044631958,-45.824,0.090704,3.0
18:55:33,226.63595962524414,-45.8239,0.090704,3.0
18:55:34,227.67600440979004,-45.8239,0.090704,3.0
18:55:35,228.72890663146973,-45.8245,0.090704,3.0
18:55:36,229.77616024017334,-45.8243,0.090704,3.0
18:55:37,230.80903887748718,-45.8247,0.090704,3.0
18:55:38,231.8542561531067,-45.824,0.090704,3.0
18:55:39,232.88213801383972,-45.8244,0.090704,3.0
18:55:40,233.9245355129242,-45.8246,0.090704,3.0
18:55:41,234.96645212173462,-45.8244,0.090704,3.0
18:55:42,236.00763463974,-45.8242,0.090704,3.0
18:55:43,237.03659582138062,-45.8249,0.090704,3.0
18:55:44,238.07653379440308,-45.8239,0.090704,3.0
18:55:45,239.115464925766,-45.8243,0.090704,3.0
18:55:47,240.92771410942078,-45.8248,0.090704,3.0
18:55:48,241.97402691841125,-45.8242,0.090704,3.0
18:55:49,243.017751455307,-45.8242,0.090704,3.0
18:55:50,244.0625720024109,-45.824,0.090704,3.0
18:55:51,245.08336210250854,-45.824,0.090704,3.0
18:55:52,246.1186375617981,-45.8241,0.090704,3.0
